Status_checking_account,Duration_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_emp_lenght,Installment_rate%,Gender,Guarantors,Present_res_lenght,Property,Age,Other_installment_plans,Housing,Number_Credit,Job,No_dependent,foreign_worker,Target,Martial_status
1,6,0,3,1169,0,8,4,1,0,4,0,67,0,1,2,1,1,1,0,1
2,48,2,3,5951,1,4,2,0,0,2,0,22,0,1,1,1,1,1,1,3
0,12,0,6,2096,1,7,2,1,0,3,0,49,0,1,1,2,2,1,0,1
1,42,2,2,7882,1,7,2,1,2,4,1,45,0,0,1,1,2,1,0,1
1,24,1,0,4870,1,4,3,1,0,4,3,53,0,0,2,1,2,1,1,1
0,36,2,6,9055,0,4,2,1,0,4,3,35,0,0,1,2,2,1,0,1
0,24,2,2,2835,3,8,3,1,0,4,1,53,0,1,1,1,1,1,0,1
2,36,2,1,6948,1,4,2,1,0,2,2,35,0,2,1,0,1,1,0,1
0,12,2,3,3059,4,7,2,1,0,4,0,61,0,1,1,2,1,1,0,4
2,30,0,0,5234,1,0,4,1,0,2,2,28,0,1,2,0,1,1,1,2
2,12,2,0,1295,1,1,3,0,0,1,2,25,0,2,1,1,1,1,1,3
1,48,2,9,4308,1,1,3,0,0,4,1,24,0,2,1,1,1,1,1,3
2,12,2,3,1567,1,4,1,0,0,1,2,22,0,1,1,1,1,1,0,3
1,24,0,0,1199,1,8,4,1,0,4,2,60,0,1,2,2,1,1,1,1
1,15,2,0,1403,1,4,2,0,0,4,2,28,0,2,1,1,1,1,0,3
1,24,2,3,1282,2,4,4,0,0,2,2,32,0,1,1,2,1,1,1,3
0,24,0,3,2424,0,8,4,1,0,4,1,53,0,1,2,1,1,1,0,1
1,30,4,9,8072,0,1,2,1,0,3,2,25,2,1,3,1,1,1,0,1
2,24,2,1,12579,1,8,4,0,0,2,3,44,0,0,1,0,1,1,1,3
0,24,2,3,3430,3,8,3,1,0,2,2,31,0,1,1,1,2,1,0,1
0,9,0,0,2134,1,4,4,1,0,4,2,48,0,1,3,1,1,1,0,1
1,6,2,3,2647,3,4,2,1,0,3,0,44,0,2,1,1,2,1,0,1
1,10,0,0,2241,1,1,1,1,0,3,0,48,0,2,2,2,2,0,0,1
2,12,0,1,1804,2,1,3,1,0,4,1,44,0,1,1,1,1,1,0,1
0,10,0,2,2069,0,4,2,1,0,1,2,26,0,1,2,1,1,0,0,2
1,6,2,2,1374,1,4,1,1,0,2,0,36,2,1,1,2,1,1,0,1
0,6,4,3,426,1,8,4,1,0,4,2,39,0,1,1,2,1,1,0,2
3,12,3,3,409,4,4,3,0,0,3,0,42,0,2,2,1,1,1,0,3
2,7,2,3,2415,1,4,3,1,2,2,0,34,0,1,1,1,1,1,0,1
1,60,1,9,6836,1,8,3,1,0,4,3,63,0,1,2,1,1,1,1,1
2,18,2,9,1913,4,1,3,1,0,3,0,36,2,1,1,1,1,1,0,2
1,24,2,2,4020,1,4,2,1,0,2,2,27,1,1,1,1,1,1,0,1
2,18,2,0,5866,2,4,2,1,0,2,2,30,0,1,2,1,1,1,0,1
0,12,0,9,1264,0,8,4,1,0,4,3,57,0,2,1,2,1,1,0,1
3,12,2,2,1474,1,1,4,0,0,1,1,33,2,1,1,0,1,1,0,3
2,45,0,3,4746,1,1,4,1,0,2,1,25,0,1,2,2,1,1,1,1
0,48,0,6,6110,1,4,1,1,0,3,3,31,2,0,1,1,1,1,0,1
3,18,2,3,2100,1,4,4,1,1,2,0,37,1,1,1,1,1,1,1,1
3,10,2,4,1225,1,4,2,1,0,2,2,37,0,1,1,1,1,1,0,1
2,9,2,3,458,1,4,4,1,0,3,0,24,0,1,1,1,1,1,0,1
0,30,2,3,2333,3,8,4,1,0,2,2,30,2,1,1,0,1,1,0,1
2,12,2,3,1158,3,4,3,1,0,1,2,26,0,1,1,1,1,1,0,4
2,18,1,5,6204,1,4,2,1,0,4,0,44,0,1,1,2,2,1,0,1
1,30,0,1,6187,2,7,1,1,0,4,2,24,0,2,2,1,1,1,0,2
1,48,0,1,6143,1,8,4,0,0,4,3,58,1,0,2,2,1,1,1,3
0,11,0,0,1393,1,1,4,0,0,4,2,35,0,1,2,0,1,1,0,3
0,36,2,3,2299,3,8,4,1,0,4,2,39,0,1,1,1,1,1,0,1
1,6,2,1,1352,3,0,1,0,0,2,1,23,0,2,1,3,1,1,0,3
0,11,0,0,7228,1,4,1,1,0,4,1,39,0,1,2,2,1,1,0,1
0,12,2,3,2073,2,4,4,0,1,2,0,28,0,1,1,1,1,1,0,3
2,24,1,2,2333,0,1,4,1,0,2,1,29,2,1,1,2,1,1,0,1
2,27,1,1,5965,1,8,1,1,0,2,2,30,0,1,2,0,1,1,0,1
0,12,2,3,1262,1,4,3,1,0,2,2,25,0,1,1,1,1,1,0,1
0,18,2,1,3378,0,4,2,1,0,1,1,31,0,1,1,1,1,1,0,1
2,36,1,0,2225,1,8,4,1,0,4,3,57,2,0,2,1,1,1,1,1
0,6,3,0,783,0,4,1,1,2,2,0,26,1,1,1,2,2,1,0,1
2,12,2,3,6468,0,0,2,1,0,1,3,52,0,1,1,0,1,1,1,1
0,36,0,3,9566,1,4,2,0,0,2,2,31,1,1,2,1,1,1,0,3
3,18,2,0,1961,1,8,3,0,0,2,2,23,0,1,1,0,1,1,0,3
1,36,0,2,6229,1,1,4,0,1,4,3,23,0,2,2,2,1,1,1,3
2,9,2,9,1391,1,4,2,1,0,1,0,27,2,1,1,1,1,1,0,2
2,15,0,3,1537,0,8,4,1,2,4,0,50,0,1,2,1,1,1,0,1
2,36,4,9,1953,1,8,4,1,0,4,3,61,0,0,1,0,1,1,1,1
2,48,4,9,14421,1,4,2,1,0,2,2,25,0,1,1,1,1,1,1,1
0,24,2,3,3181,1,1,4,0,0,4,1,26,0,1,1,1,1,1,0,3
0,27,2,5,5190,0,8,4,1,0,4,1,48,0,1,4,1,2,1,0,1
0,12,2,3,2171,1,1,2,0,0,2,2,29,2,1,1,1,1,1,0,3
2,12,2,0,1007,4,4,4,1,0,1,0,22,0,1,1,1,1,1,0,2
0,36,2,6,1819,1,4,4,1,0,4,3,37,1,0,1,1,1,1,1,1
0,36,2,3,2394,0,4,4,0,0,4,2,25,0,1,1,1,1,1,0,3
0,36,2,1,8133,1,4,1,0,0,2,1,30,2,1,1,1,1,1,0,3
0,7,0,3,730,0,8,4,1,0,2,1,46,0,2,2,2,1,1,0,1
1,8,0,10,1164,1,8,3,1,0,4,3,51,2,0,2,0,2,1,0,1
2,42,0,9,5954,1,7,2,0,0,1,0,41,2,1,2,2,1,1,0,3
1,36,2,6,1977,0,8,4,1,0,4,3,40,0,1,1,0,1,1,1,1
1,12,0,1,1526,1,8,4,1,0,4,3,66,0,0,2,0,1,1,0,1
